bucket,request_count,time_index,predicted,residual,residual_z,is_ddos
2024-03-22 18:00:00+04:00,324,0.0,3009.4040190375463,-2685.4040190375463,-0.9034006111364005,False
2024-03-22 18:01:00+04:00,1007,1.0,2964.3309888947647,-1957.3309888947647,-0.6584685205757199,False
2024-03-22 18:02:00+04:00,1068,2.0,2919.257958751983,-1851.257958751983,-0.6227843406248672,False
2024-03-22 18:03:00+04:00,997,3.0,2874.1849286092015,-1877.1849286092015,-0.6315064696780295,False
2024-03-22 18:04:00+04:00,1294,4.0,2829.11189846642,-1535.11189846642,-0.5164291918109077,False
2024-03-22 18:05:00+04:00,870,5.0,2784.0388683236383,-1914.0388683236383,-0.6439045563066251,False
2024-03-22 18:06:00+04:00,497,6.0,2738.9658381808567,-2241.9658381808567,-0.754222937778064,False
2024-03-22 18:07:00+04:00,637,7.0,2693.892808038075,-2056.892808038075,-0.6919622547111721,False
2024-03-22 18:08:00+04:00,681,8.0,2648.8197778952936,-1967.8197778952936,-0.6619970691017456,False
2024-03-22 18:09:00+04:00,1044,9.0,2603.746747752512,-1559.746747752512,-0.5247166367326164,False
2024-03-22 18:10:00+04:00,902,10.0,2558.6737176097304,-1656.6737176097304,-0.5573239774470291,False
2024-03-22 18:11:00+04:00,11168,11.0,2513.600687466949,8654.39931253305,2.9114388645187654,False
2024-03-22 18:12:00+04:00,11740,12.0,2468.527657324167,9271.472342675832,3.1190292861442512,True
2024-03-22 18:13:00+04:00,1312,13.0,2423.4546271813856,-1111.4546271813856,-0.37390604256483945,False
2024-03-22 18:14:00+04:00,14709,14.0,2378.381597038604,12330.618402961396,4.148160992518915,True
2024-03-22 18:15:00+04:00,14811,15.0,2333.3085668958224,12477.691433104177,4.19763804117556,True
2024-03-22 18:16:00+04:00,1315,16.0,2288.235536753041,-973.2355367530408,-0.3274075604450292,False
2024-03-22 18:17:00+04:00,938,17.0,2243.1625066102592,-1305.1625066102592,-0.4390715876438624,False
2024-03-22 18:18:00+04:00,839,18.0,2198.0894764674777,-1359.0894764674777,-0.45721323678878545,False
2024-03-22 18:19:00+04:00,788,19.0,2153.016446324696,-1365.016446324696,-0.45920713720497575,False
2024-03-22 18:20:00+04:00,891,20.0,2107.9434161819145,-1216.9434161819145,-0.409393677116482,False
